,m,P,r,l,T,ρ,ε,κ,∇_ad,∇,nature
21,5.583192988486226e+31,1.4643001873148467e+17,5636396181.453578,1.4596276594737273e+33,15137127.819025626,71.53250639227767,21.07922267494711,1.396459963878962,0.4,0.4,convective
22,5.849059320011585e+31,1.4565447925668598e+17,5728307156.986834,1.5152659055096473e+33,15105169.658539323,71.3043907247758,20.755694262976974,1.4001050395657868,0.4,0.4,convective
23,6.114925651536943e+31,1.4489279833794922e+17,5817601021.182346,1.570056394298901e+33,15073710.787900403,71.07974625927794,20.443465342495955,1.4037124693667933,0.4,0.398950122700614,radiative
24,6.3807919830623015e+31,1.441444045193066e+17,5904448729.991683,1.6240250014342668e+33,15042734.630054919,70.85841451447232,20.141893694548667,1.4072830697753198,0.4,0.3976861686074905,radiative
25,6.64665831458766e+31,1.4340873395013746e+17,5989011650.626635,1.6771969408703108e+33,15012224.927067222,70.64023629834206,19.85037854771209,1.4108176352209154,0.4,0.3964580368600636,radiative
26,6.912524646113018e+31,1.4268523038516842e+17,6071441561.559208,1.729596764923387e+33,14982165.740119947,70.42505181046484,19.568357359974872,1.4143169366235644,0.4,0.39526270068051067,radiative
27,7.178390977638377e+31,1.4197334518447323e+17,6151880652.521629,1.7812483642716384e+33,14952541.449514018,70.21270074139015,19.29530289115623,1.4177817199845801,0.4,0.39409759570963615,radiative
28,7.444257309163735e+31,1.4127253731347285e+17,6230461524.506349,1.8321749679549955e+33,14923336.754668653,70.00302236908882,19.030720537209962,1.4212127050111643,0.4,0.3929605262458527,radiative
29,7.7101236406890935e+31,1.4058227334293547e+17,6307307189.766029,1.8823991433751764e+33,14894536.674121352,69.79585565247709,18.774145900783186,1.4246105837716407,0.4,0.3918495909895751,radiative
30,7.975989972214452e+31,1.3990202744897645e+17,6382531071.81356,1.9319427962956886e+33,14866126.54552791,69.59103932202687,18.525142575086697,1.4279760193782598,0.4,0.3907631237408847,radiative
31,8.24185630373981e+31,1.3923128141305834e+17,6456237005.422042,1.9808271708418265e+33,14838092.02566241,69.38841196748193,18.28330012052205,1.4313096446946283,0.4,0.3896996456722938,radiative
32,8.507722635265168e+31,1.3856952462199091e+17,6528519236.624803,2.0290728495006734e+33,14810419.09041722,69.18781212270697,18.048232215633725,1.4346120610647473,0.4,0.38865782664228127,radiative
33,8.773588966790526e+31,1.3791625406793112e+17,6599462422.715384,2.0766997531211007e+33,14783094.034803005,68.9890783477048,17.819574965846268,1.4378838370607088,0.4,0.38763645362912624,radiative
34,9.039455298315885e+31,1.3727097434838312e+17,6669141632.24755,2.123727140913767e+33,14756103.472948711,68.79204930784367,17.59698535512832,1.4411255072462144,0.4,0.3866344048160582,radiative
35,9.305321629841243e+31,1.3663319766619826e+17,6737622345.035284,2.1701736104511208e+33,14729434.338101583,68.59656385034266,17.38013982722924,1.4443375709530268,0.4,0.3856506281941908,radiative
36,9.571187961366601e+31,1.360024438295751e+17,6804960452.152786,2.2160570976673966e+33,14703073.882627143,68.40246107807124,17.168732984471838,1.4475204910677018,0.4,0.38468412380147343,radiative
37,9.83705429289196e+31,1.3537824025205938e+17,6871202255.934479,2.261394876858619e+33,14677009.678009212,68.20958042072299,16.962476393281587,1.4506746928258896,0.4,0.38373392890643254,radiative
38,1.0102920624417318e+32,1.3476012195254405e+17,6936384469.975,2.3062035606825984e+33,14651229.614849897,68.01776170343088,16.761097486702088,1.4538005626116768,0.4,0.38279910559105096,radiative
39,1.0368786955942676e+32,1.3414766457569589e+17,7000537148.126692,2.3504988603936115e+33,14625721.523193832,67.8268636896508,16.564340919462996,1.4568986582469818,0.4,0.3818788804326499,radiative
40,1.0634653287468035e+32,1.3354113800552594e+17,7063738102.1187935,2.3942899058557682e+33,14600468.072956996,67.6371193170991,16.372025500157473,1.4599734055701754,0.4,0.3809750973998848,radiative
41,1.0900519618993393e+32,1.3294064040789502e+17,7126035260.392216,2.4375844406121697e+33,14575459.963473687,67.44863763224198,16.183994967034042,1.4630269072932836,0.4,0.38008765185569915,radiative
42,1.1166385950518752e+32,1.3234606001490725e+17,7187455644.754227,2.48039127200509e+33,14550691.241039868,67.26140551071744,16.000089742828866,1.4660597450414665,0.4,0.37921545815748314,radiative
43,1.143225228204411e+32,1.3175728613371499e+17,7248025687.241581,2.5227190683597987e+33,14526156.062820273,67.07540933782013,15.820157753123253,1.4690724949274716,0.4,0.3783575665352547,radiative
44,1.1698118613569468e+32,1.3117420914651886e+17,7307771230.120519,2.5645763589845616e+33,14501848.696848404,66.89063501881454,15.644054002534503,1.472065726922796,0.4,0.37751314554660836,radiative
45,1.1963984945094827e+32,1.3059672051056779e+17,7366717525.886765,2.6059715341706404e+33,14477763.522026535,66.70706798921286,15.471640179042335,1.4750400042376635,0.4,0.37668146685859905,radiative
46,1.2229851276620185e+32,1.3002471275815894e+17,7424889237.265529,2.6469128451922925e+33,14453895.028125709,66.5246932250116,15.302784284384803,1.4779958827097706,0.4,0.3758618920044057,radiative
47,1.2495717608145544e+32,1.2945807949663774e+17,7482310437.211509,2.6874084043067714e+33,14430237.815785745,66.34349525288026,15.137360288619426,1.480933910201635,0.4,0.37505386082239306,radiative
48,1.2761583939670902e+32,1.2889671540839794e+17,7539004608.908886,2.7274661847543256e+33,14406786.596515229,66.16345816029678,14.975247807095796,1.4838546260064385,0.4,0.374256881333802,radiative
49,1.302745027119626e+32,1.2834051625088149e+17,7594994645.771326,2.767094020758201e+33,14383536.192691514,65.98456560562428,14.816331798223102,1.4867585602621889,0.4,0.3734705208549443,radiative
50,1.3293316602721619e+32,1.2778937885657866e+17,7650302851.441984,2.8062996075246377e+33,14360481.537560731,65.80680082812391,14.660502280540879,1.4896462333740366,0.4,0.37269439817232175,radiative
